Sample,X,Y,Z
606,0.0242,0.0083,0.9954
607,0.0161,0.0151,0.9719
608,-0.0164,0.0156,0.9670
609,0.0088,0.0234,0.9695
610,0.0103,0.0015,0.9888
611,0.0195,-0.0061,0.9895
612,0.0381,0.0078,0.9966
613,0.0291,0.0112,0.9907
614,0.0078,0.0125,0.9885
615,-0.0034,0.0149,0.9653
616,0.0066,0.0144,0.9575
617,0.0146,0.0010,1.0015
618,0.0083,-0.0076,1.0110
619,0.0173,0.0039,0.9817
620,0.0369,0.0188,0.9741
621,-0.0020,0.0154,0.9800
622,0.0012,0.0151,0.9602
623,0.0159,0.0144,0.9602
624,0.0142,0.0100,0.9985
625,0.0203,-0.0020,1.0024
626,0.0115,0.0017,0.9934
627,0.0120,0.0232,0.9771
628,-0.0037,0.0200,0.9683
629,-0.0105,0.0176,0.9709
630,0.0032,0.0129,0.9749
631,0.0195,0.0103,0.9856
632,0.0022,-0.0095,0.9973
633,0.0259,0.0132,0.9973
634,0.0083,0.0164,0.9839
635,-0.0146,0.0171,0.9585
636,0.0010,0.0269,0.9719
637,0.0098,0.0149,0.9905
638,-0.0085,-0.0029,0.9946
639,0.0081,-0.0049,0.9985
640,0.0183,0.0027,0.9895
641,0.0037,0.0093,0.9829
642,-0.0212,0.0186,0.9702
643,-0.0056,0.0156,0.9583
644,0.0107,0.0056,0.9819
645,0.0063,-0.0024,1.0081
646,0.0027,-0.0005,0.9995
647,0.0142,0.0083,0.9739
648,-0.0027,0.0129,0.9819
649,-0.0129,0.0166,0.9729
650,-0.0024,0.0161,0.9592
651,0.0227,0.0161,0.9829
652,0.0076,-0.0002,1.0093
653,0.0093,-0.0046,0.9973
654,0.0115,0.0146,0.9749
655,-0.0039,0.0139,0.9741
656,-0.0110,0.0122,0.9700
657,-0.0010,0.0076,0.9731
658,0.0171,0.0051,0.9897
659,0.0186,0.0037,0.9946
660,0.0225,-0.0042,0.9985
661,0.0159,0.0061,0.9819
662,0.0171,0.0217,0.9712
663,-0.0020,0.0146,0.9690
664,-0.0005,0.0039,0.9797
665,0.0137,0.0134,0.9736
666,0.0085,0.0083,0.9895
667,0.0149,0.0015,1.0071
668,0.0105,0.0056,0.9856
669,0.0203,0.0237,0.9673
670,0.0054,0.0032,0.9702
671,-0.0044,0.0098,0.9761
672,0.0259,0.0234,0.9768
673,0.0325,0.0095,0.9976
674,0.0061,-0.0027,1.0054
675,0.0186,0.0051,0.9810
676,0.0010,0.0142,0.9683
677,0.0002,0.0205,0.9709
678,-0.0007,0.0066,0.9771
679,0.0164,0.0034,0.9944
680,0.0291,0.0085,0.9875
681,0.0076,0.0007,1.0002
682,0.0166,0.0056,0.9868
683,0.0012,0.0208,0.9702
684,-0.0159,0.0134,0.9692
685,0.0122,0.0105,0.9819
686,0.0122,0.0024,0.9905
687,0.0330,0.0181,0.9944
688,0.0085,0.0073,0.9934
689,0.0034,0.0269,0.9780
690,0.0103,0.0281,0.9612
691,-0.0083,0.0122,0.9827
692,-0.0088,0.0002,0.9866
693,0.0117,0.0066,0.9849
694,0.0083,0.0046,1.0024
695,0.0054,0.0093,0.9836
696,0.0088,0.0190,0.9741
697,-0.0037,0.0190,0.9839
698,0.0024,0.0125,0.9690
699,0.0015,0.0066,0.9849
700,0.0085,0.0085,0.9954
701,-0.0095,0.0024,0.9917
702,0.0063,0.0146,0.9768
703,0.0247,0.0273,0.9819
704,-0.0061,0.0049,0.9858
705,-0.0237,0.0051,0.9739
706,0.0073,0.0164,0.9719
707,0.0349,0.0193,0.9866
708,0.0129,-0.0027,1.0129
709,-0.0059,-0.0061,0.9956
710,-0.0046,0.0210,0.9524
711,0.0085,0.0337,0.9700
712,-0.0042,0.0093,0.9944
713,0.0046,-0.0020,0.9849
714,0.0122,0.0144,0.9800
715,0.0156,0.0068,0.9927
716,0.0295,0.0032,0.9966
717,0.0027,0.0142,0.9739
718,-0.0002,0.0178,0.9602
719,0.0010,0.0000,0.9709
720,0.0161,0.0027,0.9829
721,0.0291,0.0093,1.0063
722,-0.0044,0.0005,0.9895
723,0.0076,0.0171,0.9683
724,0.0171,0.0234,0.9817
725,0.0063,0.0042,0.9788
726,0.0061,0.0098,0.9692
727,0.0186,0.0078,0.9888
728,0.0156,0.0044,0.9985
729,0.0212,0.0022,0.9917
730,0.0093,0.0039,0.9836
