Sample,X,Y,Z
530,-0.0007,0.0312,0.9768
531,-0.0166,0.0093,0.9526
532,0.0242,0.0110,0.9690
533,-0.0061,-0.0178,1.0149
534,0.0332,0.0037,0.9683
535,0.0007,-0.0176,0.9673
536,0.0237,-0.0144,0.9780
537,0.0388,-0.0120,0.9944
538,-0.0261,-0.0295,0.9915
539,-0.0139,-0.0134,0.9670
540,0.0020,0.0017,0.9905
541,0.0208,-0.0239,0.9839
542,0.0034,-0.0264,0.9944
543,-0.0161,0.0051,0.9836
544,0.0098,-0.0054,0.9644
545,0.0481,-0.0322,0.9614
546,-0.0129,-0.0183,1.0278
547,-0.0061,-0.0039,0.9614
548,0.0500,-0.0222,0.9448
549,0.0000,-0.0256,1.0305
550,-0.0188,-0.0093,0.9934
551,-0.0098,-0.0046,0.9468
552,0.0356,-0.0095,0.9585
553,-0.0039,0.0046,1.0227
554,-0.0237,-0.0020,0.9780
555,0.0469,-0.0159,0.9504
556,-0.0029,0.0298,1.0161
557,-0.0073,0.0159,0.9758
558,0.0452,-0.0076,0.9485
559,0.0071,0.0051,1.0112
560,-0.0059,0.0356,0.9846
561,0.0312,0.0286,0.9761
562,0.0356,-0.0186,0.9875
563,-0.0432,0.0320,0.9995
564,0.0193,0.0464,0.9583
565,0.0300,0.0059,0.9788
566,0.0066,0.0337,1.0073
567,-0.0417,0.0308,1.0022
568,0.0378,0.0527,0.9436
569,0.0403,0.0210,0.9807
570,0.0071,0.0356,1.0142
571,-0.0181,0.0178,0.9924
572,0.0117,0.0176,0.9546
573,0.0615,0.0417,0.9792
574,-0.0437,0.0215,1.0461
575,0.0330,0.0400,0.9526
576,0.0183,0.0286,0.9680
577,-0.0178,0.0354,1.0139
578,0.0117,0.0420,0.9993
579,0.0173,0.0283,0.9663
580,-0.0144,0.0269,0.9758
581,0.0283,0.0493,0.9817
582,0.0273,0.0239,0.9885
583,0.0139,0.0076,0.9885
584,0.0188,0.0249,0.9846
585,0.0215,0.0012,0.9885
586,-0.0024,0.0105,1.0029
587,-0.0042,0.0322,0.9644
588,-0.0310,0.0208,0.9736
589,0.0156,0.0229,0.9924
590,0.0640,0.0095,0.9758
591,-0.0222,-0.0083,1.0024
592,0.0088,0.0173,0.9644
593,0.0068,0.0000,0.9595
594,-0.0010,0.0034,0.9788
595,0.0259,0.0168,0.9800
596,-0.0056,-0.0049,0.9866
597,0.0361,0.0005,0.9768
598,-0.0059,-0.0166,1.0073
599,0.0032,-0.0027,0.9907
600,0.0376,-0.0049,0.9309
601,-0.0273,-0.0308,1.0012
602,0.0466,0.0115,0.9819
603,-0.0176,-0.0239,0.9807
604,-0.0259,-0.0078,1.0015
605,0.0500,0.0137,0.9495
606,-0.0217,-0.0251,0.9905
607,0.0339,0.0034,0.9836
608,0.0110,0.0022,0.9644
609,-0.0044,-0.0039,0.9963
610,0.0200,0.0081,0.9836
611,0.0417,-0.0071,0.9448
612,-0.0312,-0.0178,1.0112
613,-0.0002,0.0225,0.9817
614,0.0347,0.0159,0.9612
615,0.0417,-0.0095,0.9983
616,-0.0161,0.0117,1.0247
617,-0.0029,0.0339,0.9448
618,0.0203,0.0105,0.9504
619,0.0286,0.0129,1.0112
620,0.0205,0.0051,1.0061
621,-0.0037,0.0166,0.9807
622,-0.0164,0.0105,0.9622
623,0.0378,0.0278,0.9878
624,0.0337,0.0315,1.0032
625,0.0042,-0.0068,0.9829
626,-0.0085,0.0378,0.9680
627,0.0359,0.0278,0.9758
628,0.0171,0.0164,1.0286
629,-0.0027,0.0427,0.9709
630,-0.0156,0.0364,0.9546
631,0.0383,0.0466,0.9800
632,-0.0066,0.0205,1.0100
633,0.0085,0.0322,0.9790
634,0.0317,0.0220,0.9709
635,0.0159,0.0181,0.9915
636,-0.0083,0.0625,1.0032
637,-0.0142,0.0552,0.9517
638,0.0269,0.0120,0.9514
639,0.0566,0.0127,1.0188
640,-0.0286,0.0134,1.0325
641,0.0486,0.0283,0.9321
642,0.0396,0.0139,0.9778
643,-0.0303,0.0156,1.0188
644,-0.0227,0.0293,0.9761
645,0.0110,0.0134,0.9446
646,-0.0190,0.0322,1.0237
647,-0.0012,0.0378,1.0071
648,0.0647,0.0054,0.9507
649,0.0112,-0.0112,0.9917
650,0.0171,0.0129,0.9712
651,0.0259,-0.0005,0.9780
652,0.0039,-0.0046,0.9927
653,-0.0100,0.0186,0.9700
654,-0.0015,0.0225,0.9944
655,0.0127,0.0022,0.9946
656,-0.0022,-0.0117,0.9719
657,0.0090,0.0254,0.9944
658,0.0012,0.0034,0.9829
659,0.0525,-0.0027,0.9456
660,0.0159,0.0073,0.9905
661,0.0159,-0.0049,0.9683
662,-0.0095,-0.0122,0.9846
663,0.0151,0.0049,0.9780
664,0.0374,-0.0105,0.9888
665,-0.0100,-0.0217,1.0054
666,-0.0112,0.0044,0.9602
667,-0.0229,0.0322,0.9741
668,0.0371,0.0017,0.9673
669,0.0251,-0.0100,1.0063
670,0.0154,0.0051,0.9905
671,0.0046,0.0010,0.9761
672,0.0042,0.0051,0.9771
673,0.0503,-0.0002,0.9739
674,-0.0247,0.0042,1.0073
675,-0.0134,0.0317,0.9670
676,0.0276,0.0220,0.9622
677,0.0317,-0.0037,1.0168
678,0.0393,0.0039,0.9973
679,-0.0139,0.0205,0.9797
680,0.0154,0.0105,0.9517
681,0.0464,0.0015,0.9875
682,-0.0234,0.0251,1.0171
683,-0.0225,0.0437,0.9644
684,0.0439,0.0273,0.9309
685,0.0024,-0.0024,1.0452
686,-0.0005,0.0300,1.0149
687,0.0120,0.0066,0.9495
688,0.0317,-0.0005,0.9602
689,0.0413,0.0083,1.0112
690,-0.0344,0.0054,1.0032
691,0.0117,0.0276,0.9407
692,0.0608,0.0139,0.9741
693,-0.0330,0.0110,1.0503
694,-0.0195,0.0503,0.9751
695,0.0203,0.0312,0.9280
696,0.0061,0.0127,0.9897
697,-0.0222,0.0381,1.0413
698,0.0591,0.0327,0.9341
699,-0.0168,-0.0173,0.9690
700,0.0366,0.0312,1.0012
701,0.0154,0.0051,0.9885
702,-0.0120,-0.0071,0.9778
703,0.0042,0.0249,0.9739
704,-0.0239,0.0151,0.9937
705,-0.0012,0.0325,0.9995
706,0.0269,0.0317,0.9514
707,0.0220,0.0098,0.9790
708,0.0173,-0.0022,1.0171
709,0.0210,0.0042,0.9683
710,-0.0042,0.0122,0.9670
711,0.0193,0.0037,0.9702
712,-0.0002,-0.0078,1.0112
713,0.0027,-0.0017,0.9758
714,-0.0078,-0.0042,0.9751
715,0.0098,0.0085,1.0161
716,0.0022,0.0112,0.9829
717,0.0405,-0.0085,0.9456
718,-0.0215,0.0029,1.0100
719,0.0029,0.0149,0.9575
720,0.0515,-0.0173,0.9644
721,0.0071,-0.0183,1.0259
722,-0.0500,0.0078,0.9963
723,0.0176,0.0310,0.9312
724,0.0452,-0.0144,0.9651
725,-0.0430,-0.0037,1.0356
726,0.0051,0.0071,0.9761
727,0.0276,-0.0042,0.9407
728,0.0276,-0.0002,1.0090
729,0.0166,0.0085,0.9917
730,0.0017,-0.0037,0.9634
731,0.0032,-0.0073,0.9731
732,-0.0173,0.0305,0.9819
733,0.0098,0.0046,0.9866
734,0.0435,-0.0088,0.9819
735,-0.0134,0.0088,0.9788
736,-0.0437,0.0305,1.0015
737,0.0530,0.0229,0.9438
738,0.0452,-0.0112,0.9780
739,-0.0569,0.0171,1.0256
740,-0.0107,0.0303,0.9722
741,0.0664,0.0198,0.9250
742,0.0200,-0.0105,1.0229
743,-0.0090,0.0151,1.0237
744,-0.0205,0.0320,0.9563
745,0.0466,0.0083,0.9172
